"sede_localidad","sede_provincia","unidades","acceso","lat","lon","fuente"
"Fray Luis Beltrán","Santa Fe",1,0.127,-32.7815481103946,-60.7310114690631,"gacetero"
"General Lavalle","Buenos Aires",1,-0.045,-36.4080860934361,-56.9433578443012,"gacetero"
"General Rodríguez","Buenos Aires",1,0.336,-34.6082064832342,-58.9510798915332,"gacetero"
"Gualeguaychú","Entre Ríos",1,-0.122,-33.0077976973495,-58.5107700863228,"gacetero"
"Ingeniero Juárez","Formosa",1,-0.218,-23.8987602,-61.8545928,"gacetero"
"Ituzaingó","Corrientes",1,-0.118,-27.5851000792357,-56.68704523972,"gacetero"
"Jaramillo","Santa Cruz",1,0.086,-47.1840284109773,-67.1447240080037,"gacetero"
"José de San Martín","Chubut",1,-0.23,-44.0514653137899,-70.4707413513195,"gacetero"
"Juan José Castelli","Chaco",1,-0.114,-25.9465789293466,-60.6200670449467,"gacetero"
"La Leonesa","Chaco",1,-0.155,-27.0381487234311,-58.7072486236073,"gacetero"
"La Matanza","Buenos Aires",1,-0.048,-34.6776067204493,-58.5610082406866,"gacetero"
"La Plata","Buenos Aires",1,-0.032,-34.9154959630273,-57.9479884807815,"gacetero"
"La Quiaca","Jujuy",1,-0.152,-22.1044517820432,-65.5963734749511,"gacetero"
"Lago Puelo","Chubut",1,-0.009,-42.0601321615066,-71.5971400319398,"gacetero"
"Laguna Blanca","Catamarca",1,0.013,-26.5869996,-66.9413064,"gacetero"
"Laguna de los Pozuelos","Jujuy",1,-0.051,-22.3512684,-66.00129,"gacetero"
"Las Lajas","Neuquén",1,-0.138,-38.5234149456937,-70.361640644378,"gacetero"
"Las Lomitas","Formosa",1,-0.32,-24.7081356055775,-60.5913768828427,"gacetero"
"Lihué Calel","La Pampa",1,0.061,-38.0041979,-65.5948505,"gacetero"
"Lima","Buenos Aires",1,-0.04,-34.0447948866739,-59.1961491544738,"gacetero"
"Malargüe","Mendoza",1,-0.209,-35.4683739980962,-69.5847075525399,"gacetero"
"Mburucuyá","Corrientes",1,0.057,-28.0468575823017,-58.2303056698416,"gacetero"
"Monte Caseros","Corrientes",1,0.125,-30.2494229600191,-57.6294817667543,"gacetero"
"Monte León","Santa Cruz",1,-0.077,-50.2198834,-68.9400934,"gacetero"
"Oberá","Misiones",1,-0.117,-27.4867909555976,-55.1200569831231,"gacetero"
"Orán","Salta",1,-0.068,-23.33267,-64.3165433,"gacetero"
"Pampa del Infierno","Chaco",1,-0.148,-26.5035583962904,-61.1765724474723,"gacetero"
"Parque Nacional Quebrada del Condorito","Córdoba",1,-0.029,-31.6687529,-64.7702443,"gacetero"
"Paso de los Libres","Corrientes",1,-0.12,-29.7137148107283,-57.085405398509,"gacetero"
"Pergamino","Buenos Aires",1,-0.204,-33.8911091446081,-60.5745861929678,"gacetero"
"Pirané","Formosa",1,-0.304,-25.7326498192715,-59.1098080633516,"gacetero"
