"saf_id","n_adj","tipo","med_real","share_directa","min_ej","n_loc","med_km","presupuesto","estructura","dotacion","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_institucional","A_presupuesto","S_dotacion"
"852",869,"administracion",26211862.6679832,0.453394706559264,2017,1,0,4159.088633,"administracion_descentralizada",2440,"grande","mixto","administracion","pre2019","una_sede","administracion_descentralizada","bajo","3"
"902",682,"salud_social",2733412.58292255,0.585043988269795,2018,1,0,6691.456791,"administracion_descentralizada",599,"chica","mayoria_directa","salud_social","pre2019","una_sede","administracion_descentralizada","bajo","2"
"903",1906,"salud_social",4053094.34638037,0.448058761804827,2018,1,47.0394198488273,12829.313798,"administracion_descentralizada",1217,"media","mixto","salud_social","pre2019","una_sede","administracion_descentralizada","medio","3"
"904",1339,"salud_social",4621442.05,0.380881254667662,2018,1,0,14191.017741,"administracion_descentralizada",1255,"media","mixto","salud_social","pre2019","una_sede","administracion_descentralizada","medio","3"
"905",516,"salud_social",4396555.79467565,0.468992248062016,2018,1,0,8732.813805,"administracion_descentralizada",335,"media","mixto","salud_social","pre2019","una_sede","administracion_descentralizada","medio","2"
"906",3979,"salud_social",1954415.19065065,0.562955516461423,2018,1,0,14600.535903,"administracion_descentralizada",1163,"chica","mayoria_directa","salud_social","pre2019","una_sede","administracion_descentralizada","medio","3"
"908",1924,"salud_social",23168758.145448,0.306652806652807,2017,1,14.5178858479299,62351.004169,"administracion_descentralizada",4514,"grande","mixto","salud_social","pre2019","una_sede","administracion_descentralizada","alto","3"
"909",927,"salud_social",5301444.90775604,0.415318230852211,2018,1,66.2594743526752,11264.81469,"administracion_descentralizada",900,"media","mixto","salud_social","pre2019","una_sede","administracion_descentralizada","medio","2"
"910",774,"salud_social",1843640.05243392,0.512919896640827,2018,1,386.322385325894,4501.197276,"administracion_descentralizada",409,"chica","mayoria_directa","salud_social","pre2019","una_sede","administracion_descentralizada","bajo","2"
"911",28,"salud_social",3520661.80871374,1,2019,2,0,NA,"otros_entes",14032,"chica","mayoria_directa","salud_social","2019_21","multi_sede","otros_entes","sin_presupuesto","3"
"914",422,"salud_social",6697236,0.639810426540284,2017,1,0,93965.223442,"administracion_descentralizada",1056,"media","mayoria_directa","salud_social","pre2019","una_sede","administracion_descentralizada","alto","3"
"915",35,"salud_social",7839463.34984054,0.571428571428571,2018,1,0,3066.427821,"administracion_descentralizada",184,"media","mayoria_directa","salud_social","pre2019","una_sede","administracion_descentralizada","bajo","1"
"916",4,"salud_social",14392451.621244,0.5,2018,1,0,NA,"administracion_descentralizada",NA,"grande","mixto","salud_social","pre2019","una_sede","administracion_descentralizada","sin_presupuesto","sin_dato"
"917",200,"salud_social",12751049.1409989,0.215,2018,1,0,1352607.694206,"administracion_descentralizada",968,"grande","mixto","salud_social","pre2019","una_sede","administracion_descentralizada","alto","3"
"918",3,"salud_social",576266.105127201,0,2018,1,0,NA,"administracion_centralizada",NA,"chica","sin_directa","salud_social","pre2019","una_sede","administracion_centralizada","sin_presupuesto","sin_dato"
"9196",28,"seguridad_defensa",1422628.05469189,0.964285714285714,2019,1,0,NA,"administracion_descentralizada",NA,"chica","mayoria_directa","seguridad_defensa","2019_21","una_sede","administracion_descentralizada","sin_presupuesto","sin_dato"
