"variable","dim.1","dim.2","dim.3"
"A_tipo",22.361754,7.578946,25.617218
"A_anclaje",19.427958,8.526051,0.170685
"A_presupuesto",17.935787,10.138061,43.736199
"A_institucional",17.662251,19.461383,6.23134
"A_fundacion",14.71778,9.767319,8.799772
"A_escala",4.899263,24.485333,4.781682
"A_directa",2.995208,20.042908,10.663104
