"saf_id","mean_sup_dim2","mean_sup_dim1","n_sup","org_dim1","org_dim2","A_anclaje"
"101",0.0913760609081057,-0.463123433130391,194,0.21035345189411,-0.947304266578696,"sin_geo"
"103",0.179231850231006,-0.428392179902465,77,0.182474268508841,-0.660957031098949,"una_sede"
"105",0.248940116819099,-0.424824916037928,1079,-0.761855561474232,-1.01897363078721,"multi_sede"
"106",0.423459730999053,-0.231204310953808,338,0.523014365348504,-0.152266589228133,"una_sede"
"107",0.049529714216172,-0.497313352326088,1130,-0.654044275918997,-0.481881953986857,"multi_sede"
"108",0.420173041554482,-0.358629895791488,191,0.609761440487432,-0.418914152205118,"sin_geo"
"109",0.262341764758816,-0.302790708608449,175,0.423276410373934,-0.467983080704825,"una_sede"
"112",0.283794960687644,-0.303256845469416,300,0.372223334442463,-0.3298805324353,"una_sede"
"113",0.138521701357932,-0.494947063614015,306,0.226044426172817,-0.777510281212908,"una_sede"
"114",0.230378108157387,-0.258789454798765,142,0.486701096098541,0.104705292018963,"una_sede"
"116",0.201769302203432,-0.210719775116582,210,0.287265456247197,-0.323679712626957,"una_sede"
"117",0.212030128606705,-0.298464582680295,50,0.668873270244341,-0.317021267866769,"una_sede"
"118",0.314113131072136,-0.256895193728228,8,0.558202435158576,-0.208554025370332,"una_sede"
"120",0.399480226381807,-0.209497316930149,31,0.205859225182242,0.649688346673076,"una_sede"
"121",0.409385347848578,-0.192177855719197,88,0.658208877308583,-0.37752651149652,"una_sede"
"173",0.287921317196677,-0.0472047993932775,31,0.523014365348502,-0.152266589228132,"una_sede"
"200",0.516019919901833,-0.065765730051111,141,-0.000819245248616094,0.37951674952835,"una_sede"
"201",0.230957336350292,-0.11104149724848,289,-0.000819245248615947,0.37951674952835,"una_sede"
"202",0.163011390406821,-0.0750310525025556,83,0.754886464368477,-0.464672356655649,"una_sede"
"203",0.344942753306706,-0.158588377366415,87,0.245594056788446,0.611435116556927,"una_sede"
"205",0.248704149068934,-0.0859241901426452,186,0.380788568748527,0.386175194288539,"una_sede"
"206",0.227398338102495,0.145404911324474,26,0.665316463536822,-0.188455731276864,"una_sede"
"207",0.377685207438321,-0.0509649101509502,211,0.245594056788446,0.611435116556927,"una_sede"
"208",0.274878305866272,-0.370484892578604,97,0.603349425890039,-0.234159157496469,"una_sede"
"209",0.318868604881439,-0.284511117309483,53,0.665316463536822,-0.188455731276864,"una_sede"
"250",0.222949054184745,-0.51861119377627,178,-0.817383413636873,-0.183670988619017,"una_sede"
"301",0.340909818436756,-0.225607098765504,317,-0.164085216342196,0.735544944494322,"una_sede"
"303",0.127066436996249,-0.269842292659906,194,0.214863448548892,-0.0863497536127155,"una_sede"
"305",0.257722575879823,-0.106159117740178,351,0.171898086526521,0.691246686144115,"una_sede"
"307",0.20173773759303,-0.365664480319973,381,-0.156672732668957,0.224911949781888,"una_sede"
"310",0.596969454311622,0.238112283527849,283,-0.486347618188713,0.825148007473427,"una_sede"
"311",0.356929420885261,0.184655265936151,433,-0.239934316151652,1.057066374502,"una_sede"
"317",0.38273837812637,-0.202591527679024,269,0.233865124173304,0.736950112363719,"una_sede"
"321",0.38435973190271,-0.118898232289433,156,-0.212900280890922,0.205930093918937,"una_sede"
"322",0.327818769493148,-0.207425397049457,368,-0.19478732542019,1.03146124237587,"una_sede"
"323",0.277023492923246,-0.473348288247924,40,0.0104065838229918,-0.822531400232418,"una_sede"
"325",0.321655890464587,-0.241020115024063,260,-0.441200627457251,0.799542875347291,"una_sede"
"326",0.264107718647737,-0.30619319978457,149,-0.772504910080849,0.275412856857726,"una_sede"
"327",0.291729225964218,-0.0600152294768101,142,-0.449346355490653,1.11314405502443,"una_sede"
"328",0.252115335705157,-0.136641209873766,37,-0.156672732668957,0.224911949781888,"una_sede"
"330",0.419447041006888,0.199582829183274,362,-0.437643820749733,0.670977338757386,"una_sede"
"331",0.260219367866233,-0.453310404780402,151,-0.772504910080849,0.275412856857726,"una_sede"
"332",0.222077320944131,-0.462201760084247,229,-0.0125481778637576,0.505031745335143,"una_sede"
"336",0.368672999008186,-0.10456567310441,148,-0.158474056170227,0.774489361128772,"una_sede"
"337",0.232806273972313,-0.157329915702333,643,0.135720061627836,0.600934379670359,"una_sede"
"338",0.386668546216349,-0.235429856219919,106,0.122646334096323,0.279771823066754,"una_sede"
"341",0.18653146196772,-0.178500583828238,122,0.33343792236684,0.29292252227684,"una_sede"
"343",0.382492466869918,-0.292396870968063,353,-0.689357579137368,0.863359418852275,"una_sede"
"345",0.395840560928844,-0.136193785153963,50,-0.0608857220155199,0.0519787299962891,"una_sede"
"347",0.0552237748437484,0.00657097048640156,231,0.327121148876957,0.431085616073645,"una_sede"
"349",0.0644050020391646,-0.0980096259799321,71,-0.129161177011264,-0.549662495564648,"una_sede"
"350",0.194126178792806,0.0411836271327972,397,-0.486347618188713,0.825148007473427,"una_sede"
"357",0.421345241062185,-0.190216651103538,206,-0.164085216342196,0.735544944494322,"una_sede"
"362",0.22747758826332,0.104578299117068,219,-0.19478732542019,1.03146124237587,"una_sede"
"363",0.383008965030902,-0.132190999296989,124,-0.19478732542019,1.03146124237587,"una_sede"
"364",0.329229953004316,-0.245419156461524,116,-0.607647304773882,0.0780241161128917,"una_sede"
"365",0.319927377823737,-0.278687674511435,95,-0.297809317012215,0.882630855865255,"una_sede"
"366",0.555690397542472,-0.168017570570921,80,-0.00228524946736119,0.546632696162305,"una_sede"
"368",0.457609990088675,0.090980670027726,38,0.171898086526521,0.691246686144115,"una_sede"
"370",0.196192119000025,-0.515474774260742,289,-0.703533973615398,0.108359275493987,"una_sede"
"371",0.13848316851553,-0.625420390798838,577,-1.6966788681472,-0.779272174769656,"multi_sede"
"372",0.169785697033085,-0.458576332117417,89,-0.124114529038569,-0.629863562537631,"sin_geo"
"374",0.0879198618676895,-0.69631847529963,2322,-1.97379427926225,-0.715274243916687,"multi_sede"
"375",-0.0891310117162128,-0.610919090351716,1725,-1.8408034229524,-1.05939197032291,"multi_sede"
"376",0.219311281101485,-0.646978624712751,391,-0.125510617583793,0.343588366571739,"una_sede"
"377",0.508987614673968,-0.249283501205704,16,-0.298179199092873,0.562561360063894,"una_sede"
"379",0.143781338143039,-0.646860367384016,1741,-1.97379427926225,-0.715274243916687,"multi_sede"
"380",0.519765317626052,-0.408182602052256,174,-1.32056924859187,0.14612445959852,"una_sede"
"381",0.0377254817381288,-0.634177051120325,1787,-1.8408034229524,-1.05939197032291,"multi_sede"
"382",0.315584736920354,-0.453529009137279,178,-0.645503496961317,0.0835316966149486,"una_sede"
"386",0.415139411004422,-0.122632579985822,92,0.281974158145495,0.456690748199781,"una_sede"
"388",0.225497407151294,-0.466785386063603,30,-0.284812819707675,0.597982529025261,"una_sede"
"389",0.387084889089855,-0.195723771496712,7,0.194130292567101,0.775203342479869,"una_sede"
"403",0.480260756779959,-0.40857810180986,321,-0.19914102770328,0.205369897770699,"una_sede"
"450",0.0746740697599302,-0.516730630286056,172,0.25880088871526,-0.9059166258701,"una_sede"
"451",0.18353117961304,-0.49639562178376,142,-1.15702732045998,-0.874186148416308,"multi_sede"
"452",0.423960254460642,-0.268965077606265,116,0.0354940240013464,0.122544868281255,"una_sede"
"470",0.192339192712343,-0.33871826170366,184,-0.487977015292555,-0.299218068707677,"una_sede"
"556",0.316891763144707,-0.241011958707664,260,0.102837233590217,0.500857960162464,"una_sede"
"602",0.311263055313227,-0.178994362484058,158,0.754886464368477,-0.464672356655649,"una_sede"
"603",0.458873412757072,-0.208914882847574,65,0.150717793229822,0.149003550369171,"una_sede"
"604",0.0808711756889846,-0.374510557424313,2032,-1.05272786079466,-0.680318936891545,"multi_sede"
"607",0.141919493905333,-0.447463770506757,430,0.594784191583978,-0.950214884220307,"una_sede"
"608",0.338424788228509,-0.528724524795207,12,0.138583625658634,-0.149355971586522,"sin_geo"
"609",0.00627474335457974,-0.198517811222282,245,0.423276410373934,-0.467983080704824,"una_sede"
"612",0.327752366076236,-0.286130482419976,36,0.0894967631554414,-0.304827018216781,"una_sede"
"613",0.103979359403485,-0.407669674398899,181,-0.108398030811585,-0.322302337203288,"una_sede"
"614",0.380714806224397,-0.255720363749606,140,0.754886464368477,-0.464672356655649,"una_sede"
"620",0.270558974570378,-0.175315439760606,32,0.222487619465298,-0.648944744623005,"una_sede"
"622",0.238388695898039,-0.330792022460972,156,0.558470922334015,-0.693243002973212,"una_sede"
"623",0.365727830869932,-0.0851067801361264,393,0.0580486465050461,0.399216422031111,"una_sede"
"624",0.441467559982311,-0.187724181827409,144,0.79119973361844,-0.721644237902744,"una_sede"
"651",0.247437462300756,-0.249232752618172,298,0.423276410373934,-0.467983080704824,"una_sede"
"652",0.229175633131346,-0.34336460138482,124,0.558470922334015,-0.693243002973212,"una_sede"
"656",0.146666743279412,-0.154728258969181,26,0.603349425890039,-0.234159157496469,"una_sede"
"661",0.248553144295439,-0.367575666523174,317,0.423276410373934,-0.467983080704824,"una_sede"
"664",0.330514059131274,-0.248334471389703,109,0.46890092150236,-0.417026377594428,"una_sede"
"669",0.328516963009773,-0.245612608604696,216,0.530121951576741,0.036804190991524,"una_sede"
"670",0.376942861711795,-0.085304983105903,57,0.513779425058383,0.0420574678823151,"una_sede"
"671",0.235950314241604,-0.17562360036035,214,0.530121951576741,0.036804190991524,"una_sede"
"673",0.135056416537894,0.621983584991659,1,0.22302609605746,0.0362565064280094,"una_sede"
"716",NA,NA,2,0.153208579293233,0.304976672517309,"sin_geo"
"801",0.180572933260557,-0.161171917803222,214,0.145861809113539,-0.203764357126593,"una_sede"
"802",0.176313572422461,-0.448411673889816,68,0.562027729041533,-0.821808539563117,"una_sede"
"804",0.277270942713474,-0.30113594153369,81,0.594784191583978,-0.950214884220307,"una_sede"
"850",0.110265093237042,0.433390168039412,491,0.012901655773584,0.424821554157247,"una_sede"
"852",0.282010099808756,0.0131353362756078,364,0.470358569580182,0.109958568909754,"una_sede"
"902",0.214115960021662,-0.379552610055473,277,0.423753930770898,-0.391421245468291,"una_sede"
"903",0.335746560069294,-0.298199941392443,451,0.441554105367078,0.130310424145099,"una_sede"
"904",0.343439776305022,-0.201363061650651,285,0.441554105367078,0.130310424145099,"una_sede"
"905",0.380958235331033,-0.231647678957483,229,0.441554105367078,0.130310424145099,"una_sede"
"906",0.273407961985657,-0.263564413631267,711,0.042146116773755,-0.39807969022848,"una_sede"
"908",0.473925020860957,-0.0527058804947639,412,-0.323081647095133,0.469119812507455,"una_sede"
"909",0.311166129104269,-0.292618909693461,332,0.10557080249836,0.174608682495307,"una_sede"
"910",0.183890093683392,-0.365234440183198,283,0.513323931602553,-0.667637870847076,"una_sede"
"911",0.238346582123544,-0.393942720391385,26,-0.371620754605543,-0.724777451116787,"multi_sede"
"914",0.178039027386353,-0.0476985849361325,225,0.297429550561879,-0.149809371408156,"una_sede"
"915",0.366653089679897,-0.0807073240459888,24,0.62016947280536,-0.162850599150728,"una_sede"
"916",0.284698558713219,0.633247331983943,3,0.16071223445078,0.675293478799212,"una_sede"
"917",0.286818431548151,-0.255211874688732,123,-0.0766683450580717,0.701038179536031,"una_sede"
"918",0.43579372271229,-0.621161456719693,2,0.104183135064074,0.141673208141333,"una_sede"
"9196",0.201090191255321,-0.609832381940763,23,-0.111028674949447,-0.597831674112267,"una_sede"
