saf_id,gastos_personal,credito_total,share_personal
1,21750.136374,22364.969423,0.9725091039754471
101,2668.839312,2828.044712,0.9437047797283907
103,145831.818141,199560.966647,0.7307632378778733
105,33432.204684,90490.344035,0.3694560457309018
106,3748.0,19600.047784,0.1912240235995539
107,18873.928012,33199.958968,0.5684925101923096
108,1991.037864,3031.507641,0.6567814103688745
109,6584.8092990000005,7194.460006,0.9152610888806711
112,4316.84151,6247.954762,0.6909207371754654
113,2354.17056,3310.82036,0.711053546861721
114,5334.47918,14371.661215,0.37118041541588065
116,6658.489257,12841.625466,0.5185082896732414
117,1372.340215,3104.714299,0.44201819647045076
118,1592.828266,2357.352003,0.67568537238942
119,676.717032,11060.330409,0.06118416059698746
121,474.683476,1090.683059,0.43521669478869207
173,2318.337842,25143.370569,0.09220473586219768
200,16196.473936,47591.817191,0.34032056122166493
201,30206.059325,42726.414394,0.7069645265913488
202,2029.757254,2354.812228,0.8619614039136884
203,6655.496436,8016.012837,0.8302751718759505
205,3416.075,5392.413291,0.6334965099395234
206,232.53746999999998,853.629587,0.27241027436411946
207,17961.228060999998,22792.565599999998,0.7880301136875965
208,669.449288,1278.060017,0.5238011353890902
209,759.9309999999999,989.69287,0.7678452811325194
250,1969.928614,780825.921078,0.002522878097182452
301,8238.118639,21059.482123,0.3911833439628025
302,13158.0,15557.781584,0.8457504001426531
303,4271.429,19612.981394,0.21778580799075836
305,22414.0458,48449.815675,0.46262396435835357
307,112690.024485,188314.79902,0.5984130034996971
310,48315.610525,442807.18802,0.10911207367938607
311,45926.732228,2117666.320981,0.021687426282873797
312,61912.041999,66121.482326,0.936337780416868
313,67109.09725600001,84773.829542,0.7916251703923761
314,17589.404657,18330.39015,0.9595761199332683
315,5804.530474,6000.910022,0.9672750387391161
316,8904.504416,15645.056812,0.5691576913399322
317,8585.553002,50574.036621,0.16976206717173525
319,4507.853,4717.566,0.9555463558962398
320,445870.173192,462542.621756,0.9639547843165143
321,10371.26445,15624.389657,0.6637868536102141
322,8321.150003,73159.166253,0.11374036131335462
323,456.270592,510.456122,0.8938487997994861
325,8505.908696,249040.708559,0.03415469199881783
326,287976.44621799997,295213.534665,0.9754852417074561
327,5286.461167,596743.594701,0.008858848614284324
328,5597.743259,2244751.55071,0.0024937028141174336
330,11829.785499,2477153.331851,0.004775556420708299
331,105555.30529999999,125229.682424,0.8428936595288414
332,11398.50303,20762.367937,0.5489982194991866
334,1253.824851,11560.653989,0.10845622161108
335,63524.009,67805.115,0.9368616069746359
336,6272.73411,79431.100246,0.07897075692736465
338,3643.929205,4492.497069,0.8111144312468331
340,4728.3053119999995,5614.816312,0.8421121990927206
341,23184.337973,36797.364075,0.6300543138292712
343,10577.451874,78567.436627,0.13462895479480386
345,1840.9820320000001,2746.441219,0.6703154683464574
346,1392.281837,1506.898467,0.9239387174982109
349,1753.571326,2000.316826,0.8766467907519366
350,28813.304602,119738.306887,0.2406356441067087
355,,4487857.72,
356,6657.049405,3138150.342122,0.0021213290248224817
357,23470.206468,56711.277736000004,0.4138543056154992
360,130927.26919,134421.809068,0.9740031777415508
361,73789.614119,77257.073119,0.9551179088203482
362,21246.419904,225995.396715,0.09401262243758705
363,17271.51117,113222.978827,0.1525442215788206
364,3091.941717,409960.669569,0.007542044753343342
365,2773.4217399999998,427034.297136,0.0064946112258443085
368,5341.366377,50562.403709000006,0.10563909120580926
369,233.20499999999998,333.43,0.6994121704705635
370,7751.031629,27804.323165,0.27877073586732637
371,1802.40931,12894.757956,0.13977845230986513
372,3301.408277,3984.66232,0.8285289974082422
374,410369.361887,445070.148802,0.9220329941057506
375,405171.29914,421655.948859,0.9609049753392371
376,,2671.5817050000005,
377,16379.540232000001,56837.743293,0.28818069267041546
379,205726.90937,224227.02234,0.9174938293478835
380,209155.065498,224082.813005,0.9333828984614411
381,153852.679887,192667.75281,0.7985388195123777
382,50052.484872,52654.879997000004,0.9505763734501289
385,2525.443846,3356.026659,0.7525100669946734
387,1086.631009,1376.59366,0.7893622065642812
388,36483.271,141846.263018,0.2572029056230431
450,1960.110602,2441.03254,0.8029842166708683
452,6323.753731,9556.939493,0.661692347809866
470,1222.163715,546572.971715,0.002236048575847387
602,3665.989804,4700.7393139999995,0.7798751556125966
603,9125.750526,10250.410729,0.8902814499112546
604,71492.709776,473496.849216,0.1509887761542135
606,73165.888722,88868.415765,0.8233058741080396
607,3907.375048,6588.880548,0.5930256315218905
608,20364.421257,31160.996823,0.6535227795398695
609,4897.510641,7006.968772,0.6989485468481833
612,1062.81791,1123.88411,0.9456650383641424
613,4333.388241,79201.07677,0.05471375412715869
614,2188.134033,4248.378588,0.515051563243591
620,4106.256652,4131.756372,0.9938283582805594
622,3874.795493,5032.536494,0.7699488116220703
623,54301.393387,72147.988655,0.7526390464834781
624,3000.97828,3968.030497,0.7562891167970778
651,17531.161665,20065.359865,0.8737028283045947
652,4083.6153719999998,4821.291727,0.8469961170636294
656,847.399635,974.03671,0.8699873693672182
661,11013.507427,14398.74644,0.7648934907558522
664,3372.927292,3544.600492,0.9515676871378146
669,16295.769074,20508.051634,0.7946034740318033
670,2649.2680179999998,3546.606757,0.74698668319263
671,5068.234464,8077.505463,0.6274504532637789
672,18.859270000000002,100.12677,0.18835392373088639
802,741.966128,1507.252421,0.4922640147479319
804,1267.902659,1666.389216,0.7608682574431639
850,329330.409621,14857478.750916,0.02216596874491212
852,3742.7342439999998,4159.088633,0.8998928790080438
902,5170.027135,6691.4567910000005,0.772631027365174
903,9272.372351,12829.313798000001,0.7227488934322814
904,11310.555583,14191.017741,0.7970221579190964
905,2882.007055,8732.813805,0.33002044007280884
906,9174.253118,14600.535903,0.6283504371997023
908,45534.770239,62351.004169,0.730297303882705
909,6945.243183,11264.81469,0.6165430478998851
910,3526.431988,4501.197276,0.7834431089707253
914,11611.613401999999,93965.223442,0.12357351982637771
915,1201.473,3066.427821,0.39181519022619116
917,10312.638948,1352607.694206,0.0076242645906680765
