unidad_ejecutora_id,unidad_ejecutora_desc
180,Comisión Directiva del Círculo de Legisladores de la Nación
182,Gerente Unidad Implementadora del Proyecto BIRF Nº 7520/AR
183,Gerente Unidad Implementadora del Proyecto BID Nº 1648-OC/AR
184,Subsecretario de Innovación Científica y Tecnológica
185,Secretaría de Planeamiento
189,Dirección Nacional de Inocuidad y Calidad Agroalimentaria
193,Comando Operacional
194,CAECOPAZ
195,jefe Estado Mayor Conjunto Combinado Cruz del Sur
197,Dirección Nacional de Infraestructura Portuaria
198,Dirección Nacional de Interior
199,Dirección Nacional de Investigación
200,Instituto de Inteligencia Fuerzas Armadas
201,Subsecretaría de Seguridad Ciudadana
202,Dirección Nacional de Migraciones
203,Dirección Nacional de Inteligencia Criminal e Investigaciones
204,Dirección de Control Policial de la Policía de Seguridad Aeronáutica
205,Gerencia Proyecto CAREM
206,Dirección Nacional de Ocupación y Salarios
207,Gcia.Gral Complejo Tecn.Pilcaniyeu
208,Gerencia de Área Energía Nuclear
209,"Dirección Nacional de Patrimonio, Museos y Arte"
212,Direccion Nacional de Política Hídrica
213,Gerencia Área Investigación no Nuclear
214,Gerencia General
215,"Dirección de Infraestructura, Equipamiento y Servicios Generales"
217,Dirección Nacional de Prestaciones Médicas
219,Gerencia Área Seguridad  Nuclear y Ambiente
220,Gcia. Exploración  Materias Primas.
221,Dirección Nacional de Promoción
222,Gcia. Producción Materias Primas
224,Dirección Nacional de Protección Vegetal
226,Gcia. Ciclo de Combustible
227,Gerencia de Control Externo de Entes Reguladores y Privatizaciones
230,Dirección Nacional de Sanidad Animal
234,Dirección Nacional de Vías Navegables
235,Dirección Nacional del Antártico
236,Dirección Nacional del Derecho de Autor
238,Comisión Nacional de Tierras para el Hábitat Social
240,Dirección Nacional del Servicio Geológico
242,Dirección Ejecutiva
243,Dirección Técnica-Jurídica. Departamento de Secretaría Gral.
244,Dirección de Administración de la ANMAT
247,Dirección de Administración y Finanzas
248,Dirección de Asuntos Jurídicos
249,Dirección de Ayuda Social para el Personal del Congreso
250,Dirección de Calidad Agroalimentaria
252,Dirección de Policía Científica
253,Dirección de Control del Ejercicio Profesional
254,Agrupación Metropolitana
255,Dirección de Cuarentena Vegetal
256,Departamento de Misiones al Exterior y Relaciones Internacionales
258,Dirección de Desarrollo Tecnológico Minero
259,Dirección de Documentación
260,Dirección de Documentación. Departamento Delegaciones
261,Dirección General de Cooperación Internacional
262,Dirección de Epidemiología
264,Dirección de Fiscalización Vegetal
266,Subsecretaría Asuntos Registrales
267,Dirección de Infraestructura Judicial
268,Secretaría de Derechos Humanos
269,Agencia Nacional de Seguridad Vial
270,Dirección de Inspección de Productos de Origen Animal
273,Dirección de Laboratorios y Control Técnico
277,Dirección de Operaciones
278,Dirección de Pericias
279,Dirección de Planeamiento y Educación
281,Dirección de Policía de Seguridad de la Navegación
282,Dirección Ejecutiva
284,Dirección Nacional de Licencias de Conducir y Antecedentes de Tránsito
285,Dirección de Prevención Sísmica
286,Dirección Nacional de Coordinación Interjurisdiccional
287,Dirección General de Administración
288,Dirección Nacional de Observatorio Vial
289,Dirección de Protección del Medio Ambiente
