"uoc_id","f1","f2","f3","masa","saf_id","A_juris","sede_provincia","anclado","A_tipo","A_rango","A_antiguedad","A_presupuesto","N_tamano","N_distribuido","n_sup","acceso","contenido","unidad_dim1","unidad_dim2"
"107|74/15 - Parque Nacional Sierra de las Quijadas - Dpto. Administracion",-0.560218890222309,-0.096368258255668,-0.0528625254892305,0.000473997833152763,107,"San Luis","San Luis","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",51,0.0676612989018392,-0.569983379216883,0.574639864555356,-0.895244869651368
"107|74/16 - Delegación Centro DRC - APN",-0.283326421731552,-0.326688536073292,0.533194459318347,0.000221609376538954,107,"CABA","CABA","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",21,-0.14093981481163,-0.226349288481949,0.778219454381567,-0.692982149425051
"107|74/17 - Parque Nacional Talampaya",-0.537169404160756,-0.0856816416882565,-0.0409264651601096,0.00102802127450015,107,"La Rioja","La Rioja","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",71,0.000474699038456034,-0.627025929801308,0.536714755931475,-1.33176383419383
"107|74/18 - CENTRO DE FORMACION Y CAPACITACION EMBALSE",-0.173996221910492,-0.162630047103388,0.383020917744789,0.000400128040973111,107,"Córdoba","Córdoba","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",49,0.00468061689313374,-0.370551311802743,0.640197864970859,-0.850956391890135
"107|74/19 - Parque Nacional El Leoncito",-0.531252345643334,-0.0431864749188705,-0.126251292528211,0.000535555993302472,107,"San Juan","San Juan","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",64,-0.0920163790245483,-0.59420156818879,0.574639864555355,-0.895244869651365
"107|74/20 - Parque Nacional Quebrada del Condorito",-0.495090872118913,-0.0990213840615238,0.00425570142870351,0.000794100265931252,107,"Córdoba","Córdoba","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",74,-0.029493651690489,-0.520486198808058,0.640197864970859,-0.850956391890135
"107|74/21 - Monumento Natural Laguna de los Pozuelos",-0.687430395437088,-0.144994327913142,0.0346240497870267,0.000215453560523983,107,"Jujuy","Jujuy","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",27,-0.0508910845213594,-0.481171869725304,0.536714755931475,-1.33176383419383
"107|74/24 - Direccion Regional NEA",-0.513857601253164,-0.140164885931004,0.118452237246872,0.000246232640598838,107,"Misiones","Misiones","anclado","administracion","descentralizada","antiguo","medio","chica","distribuido",28,-0.0956514499937971,-0.461952781388609,0.47115675551597,-1.37605231195506
"107|74/25 - Parque Nacional Ciervo de los Pantanos",-0.26149888735536,-0.110563384200101,0.126275847189177,0.00108957943464986,107,"Buenos Aires","Buenos Aires","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",97,0.139096984108126,-0.565704220098882,0.433999745226009,-0.904116563237476
"107|74/26 - Parque Nacional Mburucuya",-0.515840024226185,-0.116986326432109,-0.00328470525741956,0.000646360681571949,107,"Corrientes","Corrientes","anclado","administracion","descentralizada","antiguo","medio","media","distribuido",61,0.0569665702894015,-0.569826521774157,0.47115675551597,-1.37605231195506
