"draw","ev1","ev2","unidades","proveedores","adjudicaciones"
1,0.145116514033242,0.136302656179485,456,10529,162448
2,0.183799142729315,0.137130196655759,456,10529,162448
3,0.146397199126175,0.123218384200373,456,10529,162448
4,0.155629406352948,0.143292242647215,456,10529,162448
5,0.140400701156213,0.127396377226115,456,10529,162448
6,0.139128913148781,0.131092898225971,456,10529,162448
7,0.14257824990625,0.137645222685195,456,10529,162448
8,0.203655689892375,0.140519768197724,456,10529,162448
9,0.145773308705991,0.130760747653113,456,10529,162448
10,0.130227370788303,0.127896941065011,456,10529,162448
11,0.137781103344775,0.123942154356404,456,10529,162448
12,0.126809605008825,0.110813579323162,456,10529,162448
13,0.148080668178964,0.140643362727487,456,10529,162448
14,0.12673581250842,0.120562128913395,456,10529,162448
15,0.166646551422964,0.138253725586352,456,10529,162448
16,0.163313689037544,0.130158956979282,456,10529,162448
17,0.165223158334356,0.144280286765446,456,10529,162448
18,0.15834788940872,0.152112608562791,456,10529,162448
19,0.133076639812959,0.121805838938028,456,10529,162448
20,0.1413896976178,0.134649897288425,456,10529,162448
21,0.134571216809049,0.1180100296627,456,10529,162448
22,0.140363125395596,0.137486699044884,456,10529,162448
23,0.142904411913334,0.120677622076729,456,10529,162448
24,0.173001516591527,0.141322698560312,456,10529,162448
25,0.156536234271176,0.142978833708025,456,10529,162448
26,0.127616629591614,0.121655622236474,456,10529,162448
27,0.172242212038647,0.145300493991039,456,10529,162448
28,0.124877880304664,0.124666984138255,456,10529,162448
29,0.134177815781391,0.128918283218615,456,10529,162448
30,0.148357835765779,0.129263020932597,456,10529,162448
31,0.137830842213161,0.11669573051567,456,10529,162448
32,0.161049556904651,0.127246380152825,456,10529,162448
33,0.12277998207008,0.118695587005919,456,10529,162448
34,0.173975848045832,0.132547197737927,456,10529,162448
35,0.14749965121412,0.135335749111595,456,10529,162448
36,0.15164478709853,0.137538313634605,456,10529,162448
37,0.162099860573423,0.137926780382672,456,10529,162448
38,0.124468393751646,0.123645660061843,456,10529,162448
39,0.168425603539611,0.165396902204968,456,10529,162448
40,0.139280085447562,0.121034523208753,456,10529,162448
41,0.15587521243189,0.136577000368047,456,10529,162448
42,0.173630918409528,0.172301323163704,456,10529,162448
43,0.126142746546091,0.115183661593064,456,10529,162448
44,0.149904267798439,0.136677725592526,456,10529,162448
45,0.136009570259772,0.124615496522809,456,10529,162448
46,0.136683997120666,0.129568765720142,456,10529,162448
47,0.144113452995796,0.143457872994465,456,10529,162448
48,0.148414333611628,0.136565526156292,456,10529,162448
49,0.16239543575935,0.129718806236343,456,10529,162448
50,0.129012534955537,0.128401162403398,456,10529,162448
51,0.164820427788878,0.151608566456531,456,10529,162448
52,0.140454955188248,0.130978666792827,456,10529,162448
53,0.160871082589696,0.124850750235834,456,10529,162448
54,0.128665454969131,0.122831149447493,456,10529,162448
55,0.160298587947121,0.121918110642339,456,10529,162448
56,0.132132515019191,0.11845511652591,456,10529,162448
57,0.130759039766429,0.125297864271418,456,10529,162448
58,0.162402861923014,0.133718162442181,456,10529,162448
59,0.137724144969727,0.132092211225711,456,10529,162448
60,0.142976354477235,0.141045500977362,456,10529,162448
61,0.133269076442366,0.121248571926101,456,10529,162448
62,0.141012156233996,0.131258345526841,456,10529,162448
63,0.138567481397087,0.130913038940721,456,10529,162448
64,0.129725270867028,0.118261590101056,456,10529,162448
65,0.168754881880692,0.132227258173532,456,10529,162448
66,0.120725030230147,0.119001340608128,456,10529,162448
67,0.125225136224819,0.117525869451493,456,10529,162448
68,0.178803474912971,0.146271304127968,456,10529,162448
69,0.146697647028167,0.146179967048015,456,10529,162448
70,0.140337791773528,0.121210066336374,456,10529,162448
71,0.136831545607378,0.124278821334209,456,10529,162448
72,0.141085111874375,0.123558498418439,456,10529,162448
73,0.139963170355347,0.124798437441542,456,10529,162448
74,0.137638726715996,0.137036529662812,456,10529,162448
75,0.15322028870309,0.12074507092019,456,10529,162448
76,0.15550656759836,0.152724662572229,456,10529,162448
77,0.153167571628534,0.127867037550463,456,10529,162448
78,0.129673220548896,0.123748854043949,456,10529,162448
79,0.143922140296345,0.136737771044268,456,10529,162448
80,0.128562130308975,0.114295761329855,456,10529,162448
81,0.148728038831701,0.12760404959546,456,10529,162448
82,0.118514062757503,0.113181593510019,456,10529,162448
83,0.196496105203532,0.12667969055496,456,10529,162448
84,0.145511302717054,0.133040557687312,456,10529,162448
85,0.135253629422826,0.121817273464771,456,10529,162448
86,0.161424112607978,0.137901719518742,456,10529,162448
87,0.182806547627903,0.135661660309404,456,10529,162448
88,0.137546690903999,0.126661744752204,456,10529,162448
89,0.140650558090818,0.13794565571438,456,10529,162448
90,0.132701135089098,0.129977631384746,456,10529,162448
91,0.149562415255716,0.125306660034462,456,10529,162448
92,0.166758761552247,0.152334226153208,456,10529,162448
93,0.136217078679634,0.127581904991509,456,10529,162448
94,0.135762750205093,0.13208602060022,456,10529,162448
95,0.211416098866219,0.176794344512983,456,10529,162448
96,0.163629585363626,0.151085899523942,456,10529,162448
97,0.162908023489814,0.133767166892879,456,10529,162448
98,0.125824353360155,0.116751082362086,456,10529,162448
99,0.173669032776477,0.132603944487287,456,10529,162448
100,0.160495978108438,0.138239266949229,456,10529,162448
