"organismo","n_adj","tipo","anclaje_flag","med_real","share_directa","min_ej","n_loc","med_km","n_geo","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_alcance"
"451 - Dirección General de Fabricaciones Militares",183,"seguridad_defensa",FALSE,2930662.81523685,0.846994535519126,2017,4,293.685082273548,176,"chica","mayoria_directa","seguridad_defensa","pre2019","alto","largo"
"452 - Servicio Metereológico Nacional",199,"ciencia_universidad",FALSE,14487216.7038089,0.376884422110553,2017,1,0,195,"grande","mixto","ciencia_universidad","pre2019","bajo","corto"
"470 - Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares",380,"seguridad_defensa",FALSE,5335223.4842288,0.689473684210526,2019,1,0,377,"media","mayoria_directa","seguridad_defensa","2019_21","bajo","corto"
"556 - Autoridad de Cuenca Matanza Riachuelo",493,"infraestructura",FALSE,7148919.33614078,0.488843813387424,2018,1,0,487,"media","mixto","infraestructura","pre2019","bajo","corto"
"602 - Comisión Nacional de Valores",350,"administracion",FALSE,4402905.10416115,0.617142857142857,2017,1,0,347,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"603 - Superintendencia de Seguros de la Nación",128,"administracion",FALSE,5411774.82736531,0.4140625,2017,1,0,127,"media","mixto","administracion","pre2019","bajo","corto"
"604 - Dirección Nacional de Vialidad",12662,"infraestructura",TRUE,3409051.47500154,0.610330121623756,2017,15,412.333803319777,7949,"chica","mayoria_directa","infraestructura","pre2019","alto","largo"
"607 - Instituto Nacional de Investigación y Desarrollo Pesquero",1750,"ciencia_universidad",FALSE,1768960.98110728,0.697142857142857,2018,1,386.322385325894,1736,"chica","mayoria_directa","ciencia_universidad","pre2019","bajo","largo"
"608 - Instituto Nacional de Tecnología Industrial",23,"ciencia_universidad",FALSE,8853600,0.260869565217391,2018,NA,NA,NA,"media","mixto","ciencia_universidad","pre2019",NA,NA
"609 - Instituto Nacional de Vitivinicultura",661,"administracion",FALSE,1819071.63491807,0.877458396369138,2018,1,957.699846108196,657,"chica","mayoria_directa","administracion","pre2019","bajo","largo"
"612 - Tribunal de Tasaciones de la Nación",59,"administracion",FALSE,3034680,0.389830508474576,2018,1,0,59,"chica","mixto","administracion","pre2019","bajo","corto"
"613 - Ente Nacional de Obras Hídricas de Saneamiento",364,"infraestructura",FALSE,910630.594931681,0.876373626373626,2017,1,0,361,"chica","mayoria_directa","infraestructura","pre2019","bajo","corto"
"614 - Instituto Nacional de Semillas",247,"administracion",FALSE,4652831.78090457,0.526315789473684,2020,1,0,247,"media","mayoria_directa","administracion","2019_21","bajo","corto"
"614 - Instituto Nacional de las Semillas",56,"administracion",FALSE,4670590.84651282,0.696428571428571,2017,1,0,56,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"620 - Tribunal Fiscal de la Nación",74,"administracion",FALSE,3045672.99241717,0.837837837837838,2017,1,0,74,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"622 - Instituto Nacional de la Propiedad Industrial",290,"administracion",FALSE,2536631.87109515,0.713793103448276,2018,1,0,287,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"623 - Servicio Nacional de Sanidad y Calidad Agroalimentaria",1166,"administracion",FALSE,16152107.2364844,0.282161234991424,2017,1,0,1149,"grande","mixto","administracion","pre2019","bajo","corto"
"624 - Servicio Geológico Minero Argentino",268,"ciencia_universidad",FALSE,5022531.10476839,0.638059701492537,2018,1,0,268,"media","mayoria_directa","ciencia_universidad","pre2019","bajo","corto"
"651 - Ente Nacional Regulador del Gas",718,"administracion",FALSE,3361079.85409164,0.746518105849582,2018,1,0,714,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"652 - Ente Nacional Regulador de la Electricidad",188,"administracion",FALSE,3034418.78173346,0.617021276595745,2019,1,0,187,"chica","mayoria_directa","administracion","2019_21","bajo","corto"
"656 - Organismo Regulador de Seguridad de Presas",36,"administracion",FALSE,9659072.529316,0.611111111111111,2017,1,0,36,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"661 - Comisión Nacional de Regulación de Transporte",755,"administracion",FALSE,3821129.47571665,0.59205298013245,2017,1,0,753,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"664 - Organismo Regulador del Sistema Nacional de Aeropuertos",193,"administracion",FALSE,2151001.69284412,0.647668393782383,2017,1,0,192,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"669 - Administración Nacional de Aviación Civil",373,"administracion",FALSE,9410764.81999036,0.587131367292225,2017,1,0,369,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"670 - Unidad de Información Financiera",105,"administracion",FALSE,10781041.2852363,0.676190476190476,2017,1,0,105,"grande","mayoria_directa","administracion","pre2019","bajo","corto"
"671 - JUNTA DE SEGURIDAD EN EL TRANSPORTE",390,"administracion",FALSE,4112261.87682813,0.630769230769231,2017,1,0,386,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"673 - AGENCIA NACIONAL DE PUERTOS Y NAVEGACIÓN",1,"administracion",FALSE,0.704619964193096,0,2025,1,0,1,"chica","sin_directa","administracion","2022plus","bajo","corto"
"716 - BICE Fideicomisos S.A",3,"administracion",FALSE,NA,0,2019,NA,NA,NA,"sin_ars","sin_directa","administracion","2019_21",NA,NA
"801 - Instituto Nacional de Cine y Artes Audiovisuales - INCAA",369,"cultura_educacion",FALSE,5422998,0.707317073170732,2020,1,0,368,"media","mayoria_directa","cultura_educacion","2019_21","bajo","corto"
