"conjunto","unidades_capital","unidades_provincia","acceso_capital","acceso_provincias","brecha","brecha_relativa"
"All suppliers",178,277,0.168,-0.036,0.204,1
"Domiciled in the federal capital",173,233,0.263,0.115,0.148,0.73
"Domiciled in Buenos Aires province",151,220,0.055,-0.037,0.092,0.45
