"variable","corte","valor","valor_usd","tipo_cambio"
"anio_fundacion","tercil 1",1949.33333333333,NA,NA
"anio_fundacion","tercil 2",1996,NA,NA
"credito_vigente","tercil 1",15999.404395,17.1042151909837,935.407103825137
"credito_vigente","tercil 2",117397.556541,125.504238807819,935.407103825137
