"variable","dim.1","dim.2","dim.3"
"A_anclaje",28.996742,11.004572,2.338896
"A_cohorte",4.553322,0.318811,12.809013
"A_directa",15.811529,31.859267,34.107472
"A_escala",38.312921,21.983531,30.834806
"A_tipo",12.325487,34.833819,19.909814
