"uoc_id","saf_id","sede_provincia","tipo","rubro_modal","anclado","n_adj","n_sup","acceso","contenido","uA1","uA2","n_sedes","N_distribuido","N_tamano","N_juris","N_fundacion","N_rango","N_presupuesto","S_escala","S_directa"
"107|74/25 - Parque Nacional Ciervo de los Pantanos",107,"Buenos Aires","administracion","BAZAR Y MENAJE",TRUE,177,97,0.139096984108126,-0.565704220098882,-0.0411603069190583,0.77922882259082,48,"distribuido","media","Buenos Aires","antiguo","descentralizada","medio","chica","mixto"
"107|74/26 - Parque Nacional Mburucuya",107,"Corrientes","administracion","EQUIPOS",TRUE,105,61,0.0569665702894015,-0.569826521774157,0.0927958930570651,0.835710986878269,48,"distribuido","media","Corrientes","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/27 - Parque Nacional Chaco",107,"Chaco","administracion","FERRETERIA",TRUE,170,101,0.0593381729418853,-0.53078726560023,0.0927958930570651,0.835710986878269,48,"distribuido","media","Chaco","antiguo","descentralizada","medio","chica","mixto"
"107|74/28 - Parque Nacional Río Pilcomayo",107,"Formosa","administracion","EQUIPO DE OFICINA Y MUEBLES",TRUE,179,103,-0.0830889557960625,-0.590975601744293,0.0927958930570651,0.835710986878269,48,"distribuido","media","Formosa","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/29 - Parque Nacional Laguna Blanca",107,"Catamarca","administracion","REPUESTOS",TRUE,87,58,0.0134234589986858,-0.523443750142832,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Catamarca","antiguo","descentralizada","medio","chica","mixto"
"107|74/30 - Parque Nacional Perito Moreno",107,"Santa Cruz","administracion","EQUIPOS",TRUE,58,49,0.161587239122595,-0.610092819949763,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Santa Cruz","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/31 - Parque Nacional Lihué Calel",107,"La Pampa","administracion","ARTICULOS DEL HOGAR",TRUE,158,89,0.0612279934044081,-0.56409778068595,0.0927958930570651,0.835710986878269,48,"distribuido","media","La Pampa","antiguo","descentralizada","medio","chica","mixto"
"107|74/32 - PARQUE NACIONAL MONTE LEÓN",107,"Santa Cruz","administracion","EQUIPOS",TRUE,102,59,-0.0774613992308686,-0.536300916096843,0.0927958930570651,0.835710986878269,48,"distribuido","media","Santa Cruz","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/33 - Monumento Natural Bosques Petrificados",107,"Santa Cruz","administracion","REPUESTOS",TRUE,44,36,0.0862634645270293,-0.661638938553593,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Santa Cruz","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/34 - Direccion de Lucha Contra Incendios Forestales y Emergencias - Administración de Parques Nacionales",107,"CABA","administracion","ELECTRICIDAD Y TELEFONIA",TRUE,360,158,0.169653483070683,-0.489557484504563,0.272680323770128,0.697936676979426,48,"distribuido","media","CABA","antiguo","descentralizada","medio","media","mixto"
"107|74/35 - Parque Nacional Copo",107,"Chaco","administracion","ELECTRICIDAD Y TELEFONIA",TRUE,146,92,-0.148017903055914,-0.532158906164433,0.0927958930570651,0.835710986878269,48,"distribuido","media","Chaco","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/36 - Reserva Natural Formosa",107,"Formosa","administracion","FERRETERIA",TRUE,73,52,-0.0698091082948934,-0.550632311925627,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Formosa","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/37 - Parque Nacional San Guillermo",107,"San Juan","administracion","ARTICULOS DEL HOGAR",TRUE,34,23,-0.0144219279673962,-0.680868643870728,0.000951686156486883,0.926919990785585,48,"distribuido","chica","San Juan","antiguo","descentralizada","medio","media","sin_directa"
"107|74/38 - Parque Interjurisdiccional Marino Costero Patagonia",107,"Chubut","administracion","ARTICULOS DEL HOGAR",TRUE,43,30,-0.0679901549866874,-0.633823663319104,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Chubut","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/40 - RESERVA NATURAL ESTRICTA SAN ANTONIO",107,"Misiones","administracion","INDUMENT TEXTIL Y CONFECCIONES",TRUE,29,22,0.0466723858504394,-0.518807150432069,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Misiones","antiguo","descentralizada","medio","media","mixto"
"107|74/41 - Reserva Nacional Pizarro",107,"Salta","administracion","EQUIPOS",TRUE,30,25,-0.0827849419941092,-0.637947148046771,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Salta","antiguo","descentralizada","medio","chica","mixto"
"107|74/42 - Unidad de Compras - Parque Nacional Campos del Tuyú",107,"Buenos Aires","administracion","REPUESTOS",TRUE,36,29,-0.0446571014755527,-0.588917487604045,-0.133004513819636,0.870437826498137,48,"distribuido","chica","Buenos Aires","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/43 - Parque Nacional Patagonia",107,"Santa Cruz","administracion","EQUIPOS",TRUE,40,32,0.045161705207744,-0.448822820193726,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Santa Cruz","antiguo","descentralizada","medio","media","sin_directa"
"107|74/44 - Parque Nacional el Impenetrable",107,"Chaco","administracion","ALIMENTOS",TRUE,162,61,-0.113630646149264,-0.591702408948946,0.0927958930570651,0.835710986878269,48,"distribuido","media","Chaco","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/45 - Parque Nacional Islas de Santa Fe",107,"Santa Fe","administracion","EQUIPOS",TRUE,79,46,-0.166257540948885,-0.721790034503549,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Santa Fe","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/46 - Parque Nacional Iberá",107,"Corrientes","administracion","EQUIPOS",TRUE,208,101,0.0607050192658119,-0.64851026493196,0.0927958930570651,0.835710986878269,48,"distribuido","media","Corrientes","antiguo","descentralizada","medio","media","sin_directa"
"107|74/47 - Dirección Regional Patagonia Austral - APN",107,"Santa Cruz","administracion","REPUESTOS",TRUE,52,34,-0.041236333488081,-0.547960659583197,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Santa Cruz","antiguo","descentralizada","medio","media","mixto"
"107|74/48 - Parque Interjurisdiccional Marino Makenke",107,"Santa Cruz","administracion","EQUIPO DE OFICINA Y MUEBLES",TRUE,22,20,0.21808972710142,-0.472525014562242,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Santa Cruz","antiguo","descentralizada","medio","chica","sin_directa"
