"uoc_id","saf_id","A_juris","n_sup","acceso","contenido","unidad_dim1","unidad_dim2","unidad_dim3"
"101|98/00 - Dir. Compras",101,"Tucumán",194,0.0913760609081057,-0.463123433130391,0.330888173308391,-0.10475244239361,0.717434646660477
"103|91/00 - Departamento de Compras; Mantenimiento y Suministros",103,"CABA",77,0.179231850231006,-0.428392179902465,0.426177244220009,0.00150111728265939,0.934293478550004
"105|14 - Compras y Contrataciones - CNEA",105,"CABA",517,0.259770549017032,-0.379205224828069,0.426177244220012,0.00150111728265459,0.934293478550004
"105|14/1 - Centro Atómico Constituyentes - CNEA",105,"Buenos Aires",325,0.322480392035533,-0.320752632840152,0.147515535479959,-0.165344818768531,0.964005346733059
"105|14/2 - Centro Atómico Ezeiza - CNEA",105,"Buenos Aires",460,0.231725001547306,-0.429728139504836,0.147515535479952,-0.165344818768544,0.964005346733048
"105|14/3 - Centro Atómico Bariloche - CNEA",105,"Río Negro",476,0.218630194528035,-0.502181570000199,0.288155654809307,-0.15647312518243,0.987278942699003
"106|15 - Subgerencia de Compras y Contrataciones",106,"CABA",333,0.423459730999053,-0.231204310953808,1.06415945329935,-0.216225207115187,0.135143648729296
"107|74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES",107,"CABA",224,0.368325607771122,-0.195448581414183,0.986713801595042,-0.458773171000014,-0.375391434824272
"107|74/003 - Parque Nacional Lanin",107,"Neuquén",174,0.0510859178694646,-0.433386804958779,0.640197864970876,-0.850956391890135,-0.11003673586797
"107|74/01 - Departamento de Administracion  - Parque Nacional Nahuel Huapi",107,"Río Negro",167,0.0210343772057132,-0.389754054604758,0.848692212184326,-0.616747413465106,-0.322405970675275
"107|74/02 - IGUAZU- OFICINA DE ADMINISTRACION",107,"Misiones",89,-0.00129524760356872,-0.439018178017468,0.640197864970843,-0.850956391890155,-0.110036735867965
"107|74/04 - Parque Nacional Los Alerces",107,"Chubut",99,-0.0127111137143554,-0.419522541439438,0.848692212184334,-0.616747413465098,-0.322405970675272
"107|74/05 - Parque Nacional El Rey",107,"Salta",39,0.162646350991089,-0.589056372767265,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/07 - INTENDENCIA TIERRA DEL FUEGO",107,"Tierra del Fuego",21,0.148780927934712,-0.325108557211171,0.640197864970858,-0.850956391890135,-0.110036735867975
"107|74/09 - INTENDENCIA LAGO PUELO",107,"Chubut",70,-0.00895217092293344,-0.469703958475209,0.574639864555364,-0.895244869651372,-0.298651419048395
"107|74/10 - INTENDENCIA EL PALMAR",107,"Entre Ríos",128,0.0950380007845628,-0.559917638810345,0.64019786497086,-0.850956391890136,-0.110036735867976
"107|74/11 - Dirección Regional Patagonia Norte - APN",107,"Río Negro",54,-0.0518643787588029,-0.567311889721762,0.574639864555355,-0.895244869651365,-0.298651419048401
"107|74/13 - PARQUE NACIONAL CAMPO DE LOS ALISOS",107,"Tucumán",26,-0.1268017041881,-0.510847764571544,0.640197864970862,-0.850956391890139,-0.110036735867978
"107|74/15 - Parque Nacional Sierra de las Quijadas - Dpto. Administracion",107,"San Luis",51,0.0676612989018392,-0.569983379216883,0.574639864555356,-0.895244869651368,-0.298651419048402
"107|74/16 - Delegación Centro DRC - APN",107,"CABA",21,-0.14093981481163,-0.226349288481949,0.778219454381567,-0.692982149425051,-0.163022200016977
"107|74/17 - Parque Nacional Talampaya",107,"La Rioja",71,0.000474699038456034,-0.627025929801308,0.536714755931475,-1.33176383419383,-0.176741067202305
"107|74/18 - CENTRO DE FORMACION Y CAPACITACION EMBALSE",107,"Córdoba",49,0.00468061689313374,-0.370551311802743,0.640197864970859,-0.850956391890135,-0.110036735867976
"107|74/19 - Parque Nacional El Leoncito",107,"San Juan",64,-0.0920163790245483,-0.59420156818879,0.574639864555355,-0.895244869651365,-0.298651419048401
"107|74/20 - Parque Nacional Quebrada del Condorito",107,"Córdoba",74,-0.029493651690489,-0.520486198808058,0.640197864970859,-0.850956391890135,-0.110036735867976
"107|74/21 - Monumento Natural Laguna de los Pozuelos",107,"Jujuy",27,-0.0508910845213594,-0.481171869725304,0.536714755931475,-1.33176383419383,-0.176741067202305
"107|74/24 - Direccion Regional NEA",107,"Misiones",28,-0.0956514499937971,-0.461952781388609,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/25 - Parque Nacional Ciervo de los Pantanos",107,"Buenos Aires",97,0.139096984108126,-0.565704220098882,0.433999745226009,-0.904116563237476,-0.321925015014348
"107|74/26 - Parque Nacional Mburucuya",107,"Corrientes",61,0.0569665702894015,-0.569826521774157,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/27 - Parque Nacional Chaco",107,"Chaco",101,0.0593381729418853,-0.53078726560023,0.574639864555355,-0.895244869651365,-0.298651419048401
"107|74/28 - Parque Nacional Río Pilcomayo",107,"Formosa",103,-0.0830889557960625,-0.590975601744293,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/29 - Parque Nacional Laguna Blanca",107,"Catamarca",58,0.0134234589986858,-0.523443750142832,0.574639864555355,-0.895244869651365,-0.298651419048401
"107|74/30 - Parque Nacional Perito Moreno",107,"Santa Cruz",49,0.161587239122595,-0.610092819949763,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/31 - Parque Nacional Lihué Calel",107,"La Pampa",89,0.0612279934044081,-0.56409778068595,0.574639864555355,-0.895244869651365,-0.298651419048401
"107|74/32 - PARQUE NACIONAL MONTE LEÓN",107,"Santa Cruz",59,-0.0774613992308686,-0.536300916096843,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/33 - Monumento Natural Bosques Petrificados",107,"Santa Cruz",36,0.0862634645270293,-0.661638938553593,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/34 - Direccion de Lucha Contra Incendios Forestales y Emergencias - Administración de Parques Nacionales",107,"CABA",158,0.169653483070683,-0.489557484504563,0.778219454381567,-0.692982149425051,-0.163022200016977
"107|74/35 - Parque Nacional Copo",107,"Chaco",92,-0.148017903055914,-0.532158906164433,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/36 - Reserva Natural Formosa",107,"Formosa",52,-0.0698091082948934,-0.550632311925627,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/37 - Parque Nacional San Guillermo",107,"San Juan",23,-0.0144219279673962,-0.680868643870728,0.536714755931475,-1.33176383419383,-0.176741067202305
"107|74/38 - Parque Interjurisdiccional Marino Costero Patagonia",107,"Chubut",30,-0.0679901549866874,-0.633823663319104,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/40 - RESERVA NATURAL ESTRICTA SAN ANTONIO",107,"Misiones",22,0.0466723858504394,-0.518807150432069,0.640197864970859,-0.850956391890135,-0.110036735867976
"107|74/41 - Reserva Nacional Pizarro",107,"Salta",25,-0.0827849419941092,-0.637947148046771,0.574639864555355,-0.895244869651365,-0.298651419048401
"107|74/42 - Unidad de Compras - Parque Nacional Campos del Tuyú",107,"Buenos Aires",29,-0.0446571014755527,-0.588917487604045,0.330516636186624,-1.38492400554117,-0.388629346348677
"107|74/43 - Parque Nacional Patagonia",107,"Santa Cruz",32,0.045161705207744,-0.448822820193726,0.536714755931475,-1.33176383419383,-0.176741067202305
"107|74/44 - Parque Nacional el Impenetrable",107,"Chaco",61,-0.113630646149264,-0.591702408948946,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/45 - Parque Nacional Islas de Santa Fe",107,"Santa Fe",46,-0.166257540948885,-0.721790034503549,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/46 - Parque Nacional Iberá",107,"Corrientes",101,0.0607050192658119,-0.64851026493196,0.536714755931475,-1.33176383419383,-0.176741067202305
"107|74/47 - Dirección Regional Patagonia Austral - APN",107,"Santa Cruz",34,-0.041236333488081,-0.547960659583197,0.640197864970859,-0.850956391890135,-0.110036735867976
"107|74/48 - Parque Interjurisdiccional Marino Makenke",107,"Santa Cruz",20,0.21808972710142,-0.472525014562242,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/49 - Unidad Coordinadora de Proyectos con Financiamiento Externo - UCEFE",107,"CABA",28,0.576829082365822,-0.375437799382215,0.883230692555658,-0.939580613303706,-0.442095766158601
"107|74/50 - Parque Nacional traslasierra",107,"Córdoba",43,-0.0796701553667671,-0.680325668364208,0.47115675551597,-1.37605231195506,-0.36535575038273
"107|74/52 - PARQUE FEDERAL CAMPO SAN JUAN",107,"Misiones",42,-0.0908205439414092,-0.55904846087996,0.574639864555355,-0.895244869651365,-0.298651419048401
"107|74/6 - Parque Nacional Calilegua",107,"Jujuy",45,0.0650610847064966,-0.589728062325981,0.640197864970859,-0.850956391890135,-0.110036735867976
"107|74/8 - Parque Nacional Los Glaciares",107,"Santa Cruz",43,0.062595604593211,-0.360680740914412,0.848692212184335,-0.616747413465099,-0.322405970675272
"108|75 - Instituto Nacional del Agua - Departamente Compras",108,"Buenos Aires",191,0.420173041554482,-0.358629895791488,0.967472000281722,0.182057186802083,0.685183876627887
"109|76/000 - Gerencia de Administración y Capital Humano - SIGEN",109,"CABA",175,0.262341764758816,-0.302790708608449,1.00174901131582,-0.691029789359651,0.662626672498333
"112|16/000 - Dirección General de Administración-ARN",112,"CABA",298,0.283794960687644,-0.303256845469416,1.1253735007839,0.544283250524435,0.240048555029377
"113|17 - Oficina de Compras- TNC",113,"CABA",306,0.138521701357932,-0.494947063614015,0.468909762719112,0.0532218000714833,0.664449182511479
"114|18 - Area Compras-INAES",114,"CABA",141,0.230378108157387,-0.258789454798765,1.35006437939901,-0.449205057669551,0.0448216902134956
"116|92 - Departamento de Compras y Contrataciones- BN",116,"CABA",208,0.201769302203432,-0.210719775116582,0.560987854625649,-0.233409073710711,0.120366271169066
"117|20 - Dirección General de Administración - INT",117,"CABA",50,0.212030128606705,-0.298464582680295,1.19404682712766,0.770876475684407,0.433115067699624
"120|491/0 - Dirección General Técnica y Administrativa - ADN",120,"CABA",31,0.399480226381807,-0.209497316930149,1.25744315460548,0.350991976559358,-0.415640637847765
"121|494 - Área de Compras y Contrataciones",121,"CABA",88,0.409385347848578,-0.192177855719197,1.24613370902178,0.348903122853277,0.655472008444834
"173|143/000 - AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN",173,"CABA",31,0.287921317196677,-0.0472047993932775,1.06415945329933,-0.216225207115184,0.135143648729291
"200|78/000 - División Compras",200,"CABA",140,0.516019919901833,-0.065765730051111,0.697046960598912,0.000777885087924604,-0.194046587288399
"201|21/000 - Dirección General de Administración - DNM",201,"CABA",283,0.230957336350292,-0.11104149724848,0.986713801595043,-0.458773171000015,-0.375391434824272
"202|182 - Departamento de Compras y Contrataciones- INADI",202,"CABA",83,0.163011390406821,-0.0750310525025556,1.39221761425174,0.108307519033845,0.970585797406581
"203|313/00 - AGENCIA NACIONAL DE SEGURIDAD VIAL - DEP. DE COMPRAS",203,"CABA",87,0.344942753306706,-0.158588377366415,1.43779851837461,-0.0196159515733572,-0.582970998009257
"205|392/000 - Dirección General de Administración - AABE",205,"CABA",163,0.248704149068934,-0.0859241901426452,1.61977277409705,0.545512378395103,-0.0626426382937141
"206|408 - Centro Internacional - CIPDH",206,"CABA",26,0.227398338102495,0.145404911324474,1.47995175322733,0.537896625130039,0.342793109183828
"207|454/000 - Subdirección de Compras y Contrataciones",207,"CABA",207,0.377685207438321,-0.0509649101509502,1.43779851837461,-0.0196159515733572,-0.582970998009257
"208|466/000 - Dirección Nacional de Administración",208,"CABA",97,0.274878305866272,-0.370484892578604,1.39221761425174,0.108307519033845,0.970585797406581
"209|490 - Agencia de Acceso a la Información Pública",209,"CABA",53,0.318868604881439,-0.284511117309483,1.47995175322733,0.537896625130039,0.342793109183828
"250|22 - Dpto de Compras y Suministros - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal",250,"CABA",177,0.222949054184745,-0.51861119377627,0.0594613868328238,0.041980138202445,0.0581815505931345
"301|23/000 - Dirección General de Administración - SG",301,"CABA",317,0.340909818436756,-0.225607098765504,1.0814161029135,0.189961072650275,-1.01990310798224
"303|24/000 - Dirección General de Administración - SEDRONAR",303,"CABA",194,0.127066436996249,-0.269842292659906,0.810546386534602,0.190684304845007,0.108436957856159
"305|79/000 - Dirección General Técnico - Administrativa - JGM",305,"CABA",351,0.257722575879823,-0.106159117740178,1.44476668071747,0.199529185980738,-0.599689982944474
"307|26/000 - Dirección de Compras y Contrataciones - MRE",307,"CABA",381,0.20173773759303,-0.365664480319973,0.651928241047657,0.64189637547315,-0.433122512968826
"310|80/000 - Dirección General de Administración - MS",310,"CABA",270,0.597260210749071,0.243311181217901,0.505844335817694,0.882491979292582,-0.748236301930572
"310|80/12 - Compras y Contrataciones Internacionales - MSYDS",310,"CABA",22,0.586566835105105,0.052107277283797,0.402361226778309,0.401684536988892,-0.814940633264901
"311|95/000 - Dirección de Administración de Niñez; Adolescencia y Familia - SENNAF",311,"CABA",412,0.355701761066864,0.196263230946219,0.956929052597259,1.32164919871924,-0.955815865115557
"311|95/1 Dirección de Programas y Proyectos Sectoriales y Especiales de Niñez Adolescencia y Familia",311,"CABA",26,0.403368828498412,-0.254446031168839,0.853445943557874,0.84084175641555,-1.02252019644989
"317|262/000 - Dirección General de Administración Y Finanzas - MAD",317,"CABA",247,0.392494073157888,-0.244516657937752,1.53250081969307,0.629118292076933,-1.22748267116723
"321|27/000 - Dirección de Patrimonio y Suministros - INDEC",321,"CABA",155,0.38435973190271,-0.118898232289433,0.98743470768551,-0.236855198918035,-0.197507181365639
"322|28 -  Departamento de Compras y Patrimonio- MTU",322,"CABA",368,0.327818769493148,-0.207425397049457,1.53250081969307,0.629118292076933,-1.22748267116723
"323|29/000 - Dirección General de Administracion",323,"CABA",40,0.277023492923246,-0.473348288247924,0.755535594909257,0.0421599215990949,0.752011477454316
"325|81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN",325,"CABA",260,0.321655890464587,-0.241020115024063,0.791749261917372,0.649512128738214,-0.838558260446368
"326|30/00 - División Contrataciones - Policia Federal Argentina",326,"CABA",148,0.264107718647737,-0.30619319978457,0.267955734046299,0.276189116627481,-0.154187684214161
"327|451/000 - Dirección de Contrataciones",327,"CABA",142,0.291729225964218,-0.0600152294768101,1.03112400742083,1.45240887504991,-0.40731286780518
"328|Dirección de Compras y Contrataciones de Energía",328,"CABA",37,0.252115335705157,-0.136641209873766,0.651928241047657,0.64189637547315,-0.433122512968826
"330|82 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN",330,"CABA",362,0.419447041006888,0.199582829183274,0.505844335817694,0.882491979292582,-0.748236301930572
"331|31/000 - Direccion de Contrataciones - SPF",331,"CABA",151,0.260219367866233,-0.453310404780402,0.267955734046299,0.276189116627481,-0.154187684214161
"332|32/000 - Dirección General de Administración - MJyDDHH",332,"CABA",229,0.222077320944131,-0.462201760084247,0.791749261917372,0.649512128738214,-0.838558260446368
"336|142/000 –Subsecretaria de Gestión Administrativa de Innovación; Ciencia y Tecnología",336,"CABA",147,0.368672999008186,-0.10456567310441,1.24659589359339,0.8620981426313,-1.13716071265143
"337|83/000 - Dirección General de Administración Financiera - MC",337,"CABA",641,0.232806273972313,-0.157329915702333,0.978506390848663,0.803116964667822,-0.342037664267186
"338|300/000 - Dirección General de Administración - SECLyT",338,"CABA",106,0.386668546216349,-0.235429856219919,1.26339035863594,0.755089402618735,-0.499574748266699
"341|263 - Unidad Operativa de Compras-SENAF",341,"CABA",122,0.18653146196772,-0.178500583828238,1.01207257140521,0.205748145715947,-0.0872132920159189
"343|347/000 - Dirección General de Administración - MS",343,"CABA",352,0.382492466869918,-0.292396870968063,0.813742752144324,1.36408057970443,-1.00627892055712
"345|380/000 - COMPRAS Y CONTRATACIONES - CNCPS",345,"CABA",50,0.395840560928844,-0.136193785153963,0.97123817628387,0.990842087700987,-0.214649551357052
"347|457/000 - SECRETARÍA DE MEDIOS Y COMUNICACIÓN PÚBLICA - COORD. COMPRAS Y CONTRATACIONES",347,"CABA",227,0.0552237748437484,0.00657097048640156,1.21232443505422,0.992110466944584,-0.654716563528193
"349|488 - Coordinación de Compras y Contrataciones",349,"CABA",71,0.0644050020391646,-0.0980096259799321,0.666237364734268,0.311089264454898,0.308043800789679
"350|33/000 - Dirección General de Administración - MT",350,"CABA",397,0.194126178792806,0.0411836271327972,0.505844335817694,0.882491979292582,-0.748236301930572
"357|34/000 - Dirección General de Administración - MHA",357,"CABA",206,0.421345241062185,-0.190216651103538,0.791749261917372,0.649512128738214,-0.838558260446368
"362|315/000 - Dirección General de Administración - MP",362,"CABA",219,0.22747758826332,0.104578299117068,1.24283397869694,1.08866934816487,-1.04613782363135
"363|334/000 - Coordinación de Compras y Contrataciones - MA",363,"CABA",124,0.383008965030902,-0.132190999296989,1.71447507541551,1.19424662204539,-0.707154311451684
"364|501/000-Ministerio de Obras Públicas",364,"CABA",116,0.323953792015937,-0.243346504073304,0.440218269771553,1.00563590235818,0.205702442857347
"365|502/000-Dirección de Compras y Contrataciones - MDTYH",365,"CABA",95,0.319927377823737,-0.278687674511435,1.03112400742083,1.45240887504991,-0.40731286780518
"366|450/000 - Dirección General de Administración y Finanzas",366,"CABA",80,0.555690397542472,-0.168017570570921,1.14365110871046,0.765517241784612,-0.847783076198439
"368|503 - SECRETARÍA DE COMUNICACIÓN Y MEDIOS - DIRECCIÓN DE COMPRAS; CONTRATACIONES; PATRIMONIO Y SUMINISTROS",368,"CABA",38,0.457609990088675,0.090980670027726,1.62674093643991,0.764657515949199,-0.0793616232289312
"370|35/000 - Dirección General de Administración - MD",370,"CABA",289,0.196192119000025,-0.515474774260742,0.443830529147413,0.231163325764795,-0.767674970100708
"371|72/00 - Dirección Administrativa Financiera- EMCFFAA- Dpto de contrataciones",371,"CABA",342,0.177487998839834,-0.656838036236764,0.194992903328928,0.0289879192910578,-0.577861403329168
