estructura,entidad
Empresas y sociedades,VENG S.A.
Empresas y sociedades,Construcción de Vivienda para la Armada S.A.U. (COVIARA SAU)
Empresas y sociedades,Fábrica Argentina de Aviones “Brig. San Martín” S.A. (FADEA)
Empresas y sociedades,Fabricaciones Militares S.E.
Empresas y sociedades,Talleres Navales Dársena Norte  S.A.C.I. y N. (TANDANOR)
Empresas y sociedades,Banco de la Nación Argentina
Empresas y sociedades,Banco de Inversión y Comercio Exterior S.A. (BICE)
Empresas y sociedades,BICE Fideicomisos S.A.
Empresas y sociedades,Casa de Moneda S.A.U
Empresas y sociedades,Dioxitek S.A.
Empresas y sociedades,Enarsa Patagonia S.A.
Empresas y sociedades,Energía Argentina S.A.
Empresas y sociedades,Innovaciones Tecnológicas Agropecuarias S.A. (INTEA)
Empresas y sociedades,Nación Bursátil S.A.
Empresas y sociedades,Nación Reaseguros S.A.
Empresas y sociedades,Nación Seguros de Retiro S.A.
Empresas y sociedades,Nación Seguros S.A.
Empresas y sociedades,Nación Servicios S.A.
Empresas y sociedades,Nucleoeléctrica Argentina S.A. (NASA)
Empresas y sociedades,Pellegrini S.A. G.F.C.I.
Empresas y sociedades,Polo Tecnológico Constituyentes S.A.
Empresas y sociedades,Termoeléctrica José de San Martín S.A.
Empresas y sociedades,Termoeléctrica Manuel Belgrano S.A.
Empresas y sociedades,Vientos de la Patagonia I
Empresas y sociedades,Educar S.A.U.
Empresas y sociedades,Radio Universidad Nacional del Litoral S.A. (LT10)
Empresas y sociedades,SRT Radio Universidad Nacional de Córdoba
Empresas y sociedades,Administración de Infraestructuras Ferroviarias S.E. (ADIFSE)
Empresas y sociedades,Administración General de Puertos S.A.U. (en liquidación)
Empresas y sociedades,Aerolíneas Argentinas S.A.
Empresas y sociedades,Belgrano Cargas y Logística S.A.
Empresas y sociedades,Desarrollo de Capital Humano Ferroviario S.A.C.P.E.M.
Empresas y sociedades,Empresa Argentina de Navegación Aérea S.E. (EANA)
Empresas y sociedades,Ferrocarriles Argentinos S.E. (FASE)
Empresas y sociedades,Intercargo S.A.U.
Empresas y sociedades,Operadora Ferroviaria S.E.
Empresas y sociedades,Playas Ferroviarias de Buenos Aires S.A.
Empresas y sociedades,Agua y Saneamientos Argentinos S.A. (AYSA)
Empresas y sociedades,Corredores Viales S.A.
