organismo
101 - Fundación Miguel Lillo
103 - Consejo Nacional de Investigaciones Científicas y Técnicas
105 - Comisión Nacional de Energía Atómica
106 - Comisión Nacional de Actividades Espaciales
107 - Administración de Parques Nacionales
108 - Instituto Nacional del Agua
109 - Sindicatura General de la Nación
112 - Autoridad Regulatoria Nuclear
113 - Teatro Nacional Cervantes
114 - Instituto Nacional de Asociativismo y Economía Social
116 - Biblioteca Nacional
117 - Instituto Nacional del Teatro
118 - Instituto Nacional de Asuntos Indígenas
120 - Agencia de Deportes Nacional
121 - Banco Nacional de Datos Genéticos
173 - AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN
200 - Registro Nacional de las Personas
201 - Dirección Nacional de Migraciones
202 - Instituto Nacional contra la Discriminación; Xenofobia y el Racismo
202 - Instituto Nacional contra la Discriminación; la Xenofobia y el Racismo
203 - Agencia Nacional de Seguridad Vial
205 - Agencia de Administración de Bienes del Estado
206 - Centro Internacional para la Promoción de los Derechos Humanos
207 - Ente Nacional de Comunicaciones
208 - Agencia Nacional de Materiales Controlados
209 - Agencia de Acceso a la Información Pública
250 - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal
301 - Secretaria General de la Presidencia de la Nación
303 - Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR)
303 - Secretaría de Políticas Integrales sobre Drogas
305 - Jefatura de Gabinete de Ministros
307 - Ministerio de Relaciones Exteriores y Culto
307 - Ministerio de Relaciones Exteriores; Comercio Internacional y Culto
310 - Ministerio de Salud
310 - Secretaría de Gobierno de Salud
311 - Desarrollo Humano y Economía Solidaria
311 - Ministerio de Desarrollo Social
311 - Ministerio de Salud y Desarrollo Social
317 - Ministerio de Ambiente y Desarrollo Sostenible
317 - Ministerio de Ambiente y Desarrollo Sustentable
317 - Secretaría de Gobierno de Ambiente y Desarrollo Sustentable
321 - Instituto Nacional de Estadísticas y Censos
322 - Ministerio de Turismo
322 - Ministerio de Turismo y Deportes
322 - Secretaría de Gobierno de Turismo
323 - Comision Nacional de Comercio Exterior
325 - Ministerio del Interior
325 - Ministerio del Interior; Obras Públicas y Vivienda
326 - Super Intendencia de la Administracion de la Policia Federal
327 - Ministerio de Transporte
328 - Secretaría de Energía
328 - Secretaría de Gobierno de Energía
330 - Ministerio de Educación
330 - Ministerio de Educación; Cultura; Ciencia y Tecnología
330 - SECRETARIA DE EDUCACIÓN – MINISTERIO DE CAPITAL HUMANO
331 - Servicio Penitenciario Federal
332 - Ministerio de Justicia y Derechos Humanos
336 - SECRETARÍA DE INNOVACIÓN; CIENCIA Y TECNOLOGÍA
336 - Secretaría de Gobierno de Ciencia; Tecnología e Innovación Productiva
337 - Secretaría de Cultura
337 - Secretaría de Gobierno de Cultura
338 - Secretaria Legal y Técnica
341 - Secretaría Nacional de Niñez; Adolescencia y Familia
343 - Ministerio de Seguridad
345 - Consejo Nacional de Coordinación de Politicas Sociales
347 - Secretaría de Gobierno del Sistema Federal de Medios y Contenidos Públicos
347 - Secretaría de Medios y Comunicación Pública
349 - Procuración del Tesoro de la Nación
350 - Ministerio de Trabajo; Empleo y Seguridad Social
350 - Secretaría de Gobierno de Trabajo y Empleo
357 - Ministerio de Economía
357- Ministerio de Hacienda
362 - Ministerio de Desarrollo Productivo
362 - Ministerio de Producción
362 - Ministerio de Producción y Trabajo
363 - Ministerio de Agricultura; Ganadería y Pesca
363 - Secretaría de Gobierno de Agroindustria
364-Ministerio de Obras Públicas
365-Ministerio de Desarrollo Territorial y Hábitat
366 - Ministerio de Modernización
366 - Secretaría de Gobierno de Modernización
366 - Secretaría de Innovación Pública
368 - SECRETARÍA DE COMUNICACIÓN Y MEDIOS DE LA PRESIDENCIA DE LA NACIÓN
370 - Ministerio de Defensa
371 - Estado Mayor Conjunto (EMCO)
372 - Instituto de Investigaciones Científicas y Técnicas para la Defensa
374 - Estado Mayor General del Ejercito
375 - Gendarmeria Nacional
376 - Subsecreataría de Planeamiento Operativo y Servicio Logístico de la Defensa
376 - Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa
377 - INFRAESTRUCTURA ECONOMICA Y SOCIAL
379 - Estado Mayor General de la Armada
380 - Prefectura Naval Argentina
381 - Estado Mayor General de La Fuerza Aérea
382 - Policia de Seguridad Aeroportuaria
386-Ministerio de las Mujeres; Géneros y Diversidad
388 - MINSTERIO DE CAPITAL HUMANO
389 - Ministerio de Desregulación y Transformación del Estado
403 - Superintendencia de Bienestar de la Policia Federal Argentina
450 - Instituto Geográfico Nacional
451 - Dirección General de Fabricaciones Militares
452 - Servicio Metereológico Nacional
470 - Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares
556 - Autoridad de Cuenca Matanza Riachuelo
602 - Comisión Nacional de Valores
603 - Superintendencia de Seguros de la Nación
604 - Dirección Nacional de Vialidad
607 - Instituto Nacional de Investigación y Desarrollo Pesquero
608 - Instituto Nacional de Tecnología Industrial
609 - Instituto Nacional de Vitivinicultura
612 - Tribunal de Tasaciones de la Nación
613 - Ente Nacional de Obras Hídricas de Saneamiento
614 - Instituto Nacional de Semillas
614 - Instituto Nacional de las Semillas
620 - Tribunal Fiscal de la Nación
622 - Instituto Nacional de la Propiedad Industrial
623 - Servicio Nacional de Sanidad y Calidad Agroalimentaria
624 - Servicio Geológico Minero Argentino
651 - Ente Nacional Regulador del Gas
652 - Ente Nacional Regulador de la Electricidad
656 - Organismo Regulador de Seguridad de Presas
661 - Comisión Nacional de Regulación de Transporte
664 - Organismo Regulador del Sistema Nacional de Aeropuertos
669 - Administración Nacional de Aviación Civil
670 - Unidad de Información Financiera
671 - JUNTA DE SEGURIDAD EN EL TRANSPORTE
673 - AGENCIA NACIONAL DE PUERTOS Y NAVEGACIÓN
716 - BICE Fideicomisos S.A
801 - Instituto Nacional de Cine y Artes Audiovisuales - INCAA
802 - Fondo Nacional de las Artes
804 - Comisión Nacional de Evaluación y Acreditación Universitaria
850 - Administración Nacional de la Seguridad Social
852 - Superintendencia de Riesgos de Trabajo
852 - Superintendencia de Riesgos del Trabajo
902 - Hospital Nacional en Red Especializado en Salud Mental y Adicciones Licenciada Laura Bonaparte
903 - Hospital Nacional Dr Baldomero Sommer
904 - Administración Nacional de Medicamentos; Alimentos y Tecnología Médica - ANMAT
905 - Instituto Nacional Central Único Coordinador de Ablación e Implante
906 - Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán
908 - Hospital Nacional Dr. Alejandro Posadas
908 - Hospital Nacional Profesor Alejandro Posadas
909 - Colonia Nacional Dr. Manuel Montes de Oca
910 - Instituto Nacional de Rehabilitación Psicofísica del Sur DR. Juan otimio Tessone
910 - Instituto Nacional de Rehabilitación Psicofísica del Sur Dr. Juan Otimio Tesone
911 - Instituto Nacional de Servicios Sociales para Jubilados y Pensionados - INSSJP
914 - Superintendecia de Servicios de Salud
914 - Superintendencia de Servicios de Salud
915 - Instituto Nacional del Cáncer
916 - Agencia Nacional de Laboratorios Públicos
917 - Agencia Nacional de Discapacidad
918 - Instituto Nacional de las Mujeres
9196 - Dirección de Obra Social del Servicio Penitenciario Federal
